id,name,city,rating,rating_count,cuisine,cost,link
262,Anand Sweets and Savouries,Bangalore,4.5,1000,Sweets,300,https://www.swiggy.com/restaurants/anand-sweets-and-savouries-old-airport-road-domlur-bangalore-262
263,Cupcake Noggins - Vintage Patisserie,Bangalore,4.2,50,Desserts,150,https://www.swiggy.com/restaurants/cupcake-noggins-vintage-patisserie-4th-block-koramangala-bangalore-263
267,Tea Brew,Bangalore,4.2,100,American,350,https://www.swiggy.com/restaurants/tea-brew-double-road-domlur-bangalore-267
270,Donne Biryani House,Bangalore,3.9,500,Biryani,130,https://www.swiggy.com/restaurants/donne-biryani-house-7th-block-koramangala-bangalore-270
271,Meghana Foods,Bangalore,4.4,1000,Biryani,500,https://www.swiggy.com/restaurants/meghana-foods-cmh-road-indiranagar-bangalore-271
275,Mani's Dum Biryani,Bangalore,4.2,1000,Andhra,400,https://www.swiggy.com/restaurants/manis-dum-biryani-5th-block-koramangala-bangalore-275
287,Fish & Fries,Bangalore,3.8,100,Seafood,300,https://www.swiggy.com/restaurants/fish-and-fries-sector-2-hsr-layout-bangalore-287
295,Kumarakom,Bangalore,4.2,500,Kerala,300,https://www.swiggy.com/restaurants/kumarakom-sector-4-hsr-layout-bangalore-295
297,Parika,Bangalore,4.1,100,North Indian,1000,https://www.swiggy.com/restaurants/parika-sector-3-hsr-layout-bangalore-297
304,A2B Veg,Bangalore,4.2,1000,South Indian,300,https://www.swiggy.com/restaurants/a2b-veg-bda-complex-hsr-layout-bangalore-304
305,A2B Veg,Bangalore,3.9,1000,South Indian,300,https://www.swiggy.com/restaurants/a2b-veg-7th-block-koramangala-bangalore-305
307,A2B Veg,Bangalore,4.3,1000,South Indian,300,https://www.swiggy.com/restaurants/a2b-veg-1st-stage-btm-layout-bangalore-307
308,Bangaliana,Bangalore,4.2,500,Bengali,500,https://www.swiggy.com/restaurants/bangaliana-7th-block-koramangala-bangalore-308
310,Gongura Grand,Bangalore,4,100,Biryani,300,https://www.swiggy.com/restaurants/gongura-grand-sector-7-hsr-layout-bangalore-310
312,Beijing Bites,Bangalore,4.4,500,Chinese,450,https://www.swiggy.com/restaurants/beijing-bites-5th-block-koramangala-bangalore-312
322,Madurai Idly Shop,Bangalore,3.9,500,South Indian,150,https://www.swiggy.com/restaurants/madurai-idly-shop-6th-block-koramangala-bangalore-322
323,Madurai Idly Shop (80 ft. Road),Bangalore,4.1,1000,South Indian,150,https://www.swiggy.com/restaurants/madurai-idly-shop-80-ft-road-80-feet-road-indiranagar-bangalore-323
325,Sree Krishna Kafe,Bangalore,4.4,1000,South Indian,137,https://www.swiggy.com/restaurants/sree-krishna-kafe-1st-block-koramangala-bangalore-325
327,Adiga's,Bangalore,4.3,500,South Indian,200,https://www.swiggy.com/restaurants/adigas-1st-stage-indiranagar-bangalore-327
330,New Kabab Plaza,Bangalore,4.4,50,North Indian,500,https://www.swiggy.com/restaurants/new-kabab-plaza-2nd-stage-btm-layout-bangalore-330
333,Beijing Bites,Bangalore,4.2,100,Chinese,450,https://www.swiggy.com/restaurants/beijing-bites-2nd-stage-btm-2nd-stage-bangalore-333
